SRR2039795,2015-08-02 10:53:04,2015-05-26 13:07:56,19625903,1982216203,0,101,1426,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2039795/SRR2039795.1,SRX1038187,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058710,PRJNA284922,2,284922,SRS945345,SAMN03734509,simple,81972,Arabidopsis lyrata subsp. lyrata,GSM1695578,,,,,,,no,,,,,GEO,SRA269936,,public,2D79749B0E647B1FAD2CF59E7FA61AD4,B1D4D3B9CFBCC113061C9F07FC4B5238

SRR2039796,2015-08-02 10:53:04,2015-05-26 13:08:14,18123255,1830448755,0,101,1318,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2039796/SRR2039796.1,SRX1038188,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058710,PRJNA284922,2,284922,SRS945346,SAMN03734510,simple,81972,Arabidopsis lyrata subsp. lyrata,GSM1695579,,,,,,,no,,,,,GEO,SRA269936,,public,D8FFE6FFB5A899C5581B53E500C87DAE,C0779BE63D8ADC7A9BDA370FFA9CA758

SRR2033954,2015-08-02 10:53:08,2015-05-20 11:42:37,16493299,1583356704,0,96,1183,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033954/SRR2033954.1,SRX1034178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,2,284487,SRS941687,SAMN03702817,simple,81972,Arabidopsis lyrata subsp. lyrata,GSM1692581,,,,,,,no,,,,,GEO,SRA269101,,public,B908D482FEF3F403FC9A13AE620ADFCA,78C680E8FFE88432E65A688CA4D38BD7

SRR2033955,2015-08-02 10:53:08,2015-05-20 11:42:38,19272053,1850117088,0,96,1387,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033955/SRR2033955.1,SRX1034179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,2,284487,SRS941686,SAMN03702818,simple,81972,Arabidopsis lyrata subsp. lyrata,GSM1692582,,,,,,,no,,,,,GEO,SRA269101,,public,92BA102E6CEEC0A1BAFCDE2AEF763C8C,834F7045BD0A64C5C2FBD295AD4968B1

SRR2033956,2015-08-02 10:53:08,2015-05-20 11:41:02,13643519,1309777824,0,96,981,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033956/SRR2033956.1,SRX1034180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,2,284487,SRS941685,SAMN03702819,simple,81972,Arabidopsis lyrata subsp. lyrata,GSM1692583,,,,,,,no,,,,,GEO,SRA269101,,public,6350119DD59985546BD7E0BDA87A5396,AA07A5E9D18C9A0BFEB28DCD27A5B4B9

SRR2033957,2015-08-02 10:53:08,2015-05-20 11:50:18,45850200,4401619200,0,96,2974,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033957/SRR2033957.1,SRX1034181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,2,284487,SRS941684,SAMN03702820,simple,81972,Arabidopsis lyrata subsp. lyrata,GSM1692584,,,,,,,no,,,,,GEO,SRA269101,,public,180FFA9C174C99D5C2F5922B4D6D5874,A2207B1BF40ECAF3681B879BCD125CDD

